Species,Sample,Chemical,Instrument,good,Application,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_gmL,HalfLife_day,HabFac,#frogs
Cricket frog,CFI2,Imidacloprid,LCMS,1,Soil,5.62201E-06,0.434782099,2.072271639,0.57,0.209809414,0.74614,0.74614,510,0.51,255.661,1.543,42542.55783,1.356365702,0.0002,292.5,84,Arboreal,2
Cricket frog,CFI3,Imidacloprid,LCMS,1,Soil,5.62201E-06,0.372214162,2.072271639,0.57,0.179616492,0.53965,0.53965,510,0.51,255.661,1.543,30145.62019,1.185193527,0.0002,292.5,84,Arboreal,2
Cricket frog,CFI4,Imidacloprid,LCMS,1,Soil,5.62201E-06,0.339457748,2.072271639,0.57,0.163809484,0.71619,0.71619,510,0.51,255.661,1.543,32153.64683,1.34490671,0.0002,292.5,84,Arboreal,2
Cricket frog,CFI5,Imidacloprid,LCMS,1,Soil,5.62201E-06,0.275966093,2.072271639,0.57,0.13317081,0.63282,0.63282,510,0.51,255.661,1.543,24240.27087,1.281465366,0.0002,292.5,84,Arboreal,2
Cricket frog,CFT1,Total Triadimefon,LCMS,1,Soil,2.79107E-06,2.077130886,10.06719167,3.11,0.206326745,0.6273,0.6273,260,0.26,291.73,1.22,383350.8797,1.217789371,0.02,520,26,Aquatic,2
Cricket frog,CFT2,Total Triadimefon,LCMS,1,Soil,2.79107E-06,1.756096815,10.06719167,3.11,0.174437606,0.50037,0.50037,260,0.26,291.73,1.22,397738.0948,0.79153846,0.02,520,26,Aquatic,1
Cricket frog,CFT3,Total Triadimefon,LCMS,1,Soil,2.79107E-06,1.744838243,10.06719167,3.11,0.173319263,0.70107,0.70107,260,0.26,291.73,1.22,347559.409,1.261005547,0.02,520,26,Aquatic,2
Cricket frog,CFT4,Total Triadimefon,LCMS,1,Soil,2.79107E-06,1.460137338,10.06719167,3.11,0.145039191,0.69761,0.69761,260,0.26,291.73,1.22,288128.2401,1.266630874,0.02,520,26,Aquatic,2
Cricket frog,CFT5,Total Triadimefon,LCMS,1,Soil,2.79107E-06,1.373422118,10.06719167,3.11,0.136425546,0.70298,0.70298,260,0.26,291.73,1.22,267627.194,1.292546744,0.02,520,26,Aquatic,2
Fowlers toad,FTP1,Pendimethalin,LCMS,1,Soil,1.98804E-05,1.015765216,12.47076761,5.18,0.081451699,1.44625,1.7962,0.3,0.0003,281.31,1.17,46545.53161,1.587573978,4,243000,40,Terrestrial,1
Fowlers toad,FTP2,Pendimethalin,LCMS,1,Soil,1.98804E-05,0.793134917,12.47076761,5.18,0.063599527,1.4138,1.77413,0.3,0.0003,281.31,1.17,35783.69062,1.576250272,4,243000,40,Terrestrial,1
Fowlers toad,FTP3,Pendimethalin,LCMS,1,Soil,1.98804E-05,0.232912294,12.47076761,5.18,0.018676661,2.94055,4.5298,0.3,0.0003,281.31,1.17,12701.75924,2.712266512,4,243000,40,Terrestrial,1
Fowlers toad,FTP4,Pendimethalin,LCMS,1,Soil,1.98804E-05,2.450801741,12.47076761,5.18,0.196523728,2.01645,2.3931,0.3,0.0003,281.31,1.17,132614.1789,1.874480536,4,243000,40,Terrestrial,1
Fowlers toad,FTP5,Pendimethalin,LCMS,1,Soil,1.98804E-05,0.348901972,12.47076761,5.18,0.027977586,1.73866,2.11699,0.3,0.0003,281.31,1.17,17475.89999,1.746038413,4,243000,40,Terrestrial,1
Fowlers toad,FTA1,Total Atrazine,LCMS,1,Soil,2.28389E-05,9.865493013,17.05417146,2.5,0.57847976,2.811,3.2531,30,0.03,215.68,1.187,542277.2117,2.239148039,0.04,122,80,Terrestrial,1
Fowlers toad,FTA2,Total Atrazine,LCMS,1,Soil,2.28389E-05,14.56173496,17.05417146,2.5,0.853851797,1.04725,1.3337,30,0.03,215.68,1.187,499708.5031,1.336199406,0.04,122,80,Terrestrial,1
Fowlers toad,FTA3,Total Atrazine,LCMS,1,Soil,2.28389E-05,10.4565577,17.05417146,2.5,0.613137831,2.57336,2.98286,30,0.03,215.68,1.187,553272.0997,2.129487214,0.04,122,80,Terrestrial,1
Fowlers toad,FTA4,Total Atrazine,LCMS,1,Soil,2.28389E-05,9.020873418,17.05417146,2.5,0.528954071,1.93404,2.20256,30,0.03,215.68,1.187,427583.357,1.786560678,0.04,122,80,Terrestrial,1
Fowlers toad,FTA5,Total Atrazine,LCMS,1,Soil,2.28389E-05,8.439433709,17.05417146,2.5,0.494860376,0.82668,0.9795,30,0.03,215.68,1.187,273351.2625,1.117517096,0.04,122,80,Terrestrial,1
Fowlers toad,FTF1,Total Fipronil,LCMS,1,Soil,1.14035E-06,1.155134535,3.366859313,4,0.343089636,2.87106,3.4164,3.78,0.00378,437.15,1.48,1262517.614,2.303556612,0.00037,825,125,Terrestrial,1
Fowlers toad,FTF2,Total Fipronil,LCMS,1,Soil,1.14035E-06,0.524889572,3.366859313,4,0.155898873,1.28161,1.74614,3.78,0.00378,437.15,1.48,377710.4059,1.561803462,0.00037,825,125,Terrestrial,1
Fowlers toad,FTF3,Total Fipronil,LCMS,1,Soil,1.14035E-06,1.259008899,3.366859313,4,0.373941642,2.48014,2.8723,3.78,0.00378,437.15,1.48,1314282.84,2.083423978,0.00037,825,125,Terrestrial,1
Fowlers toad,FTF4,Total Fipronil,LCMS,1,Soil,1.14035E-06,1.158626237,3.366859313,4,0.344126715,1.69321,2.04101,3.78,0.00378,437.15,1.48,1006358.562,1.709475719,0.00037,825,125,Terrestrial,1
Fowlers toad,FTF5,Total Fipronil,LCMS,1,Soil,1.14035E-06,2.07002135,3.366859313,4,0.614822645,0.89804,1.0813,3.78,0.00378,437.15,1.48,1377572.766,1.183361557,0.00037,825,125,Terrestrial,1
Fowlers toad,FTT1,Total Triadimefon,LCMS,1,Soil,2.74322E-06,0.17768118,7.010390361,3.11,0.025345405,0.95994,1.32029,260,0.26,291.73,1.22,46805.23854,1.328403922,0.02,520,26,Terrestrial,1
