Species,Sample,Chemical,Instrument,good,Application,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_gmL,HalfLife_day,HabFac,#frogs
Leopard frog,LFF4,Total Fipronil,LCMS,1,Soil,1.1244E-06,0.496870531,3.156807044,4,0.157396548,1.4102,1.7076,3.78,0.00378,437.15,1.48,404192.4439,1.541750804,0.00037,825,125,Aquatic,1
Leopard frog,LFT1,Total Triadimefon,LCMS,1,Soil,2.80702E-06,0.1766496,6.669240533,3.11,0.026487214,2.11943,2.42685,260,0.26,291.73,1.22,70580.40487,1.889741775,0.02,520,26,Aquatic,1
Leopard frog,LFT2,Total Triadimefon,LCMS,1,Soil,2.80702E-06,0.179231247,6.669240533,3.11,0.026874311,3.13315,4.00534,260,0.26,291.73,1.22,79206.16324,2.52575261,0.02,520,26,Aquatic,1
Leopard frog,LFT3,Total Triadimefon,LCMS,1,Soil,2.80702E-06,0.052193986,6.669240533,3.11,0.007826076,3.32121,3.89894,260,0.26,291.73,1.22,24834.24812,2.486684335,0.02,520,26,Aquatic,1
Leopard frog,LFT4,Total Triadimefon,LCMS,1,Soil,2.80702E-06,0.070844227,6.669240533,3.11,0.010622533,1.44049,1.87933,260,0.26,291.73,1.22,22307.9272,1.629710144,0.02,520,26,Aquatic,1
Narrowmouth toad,NTI1,Imidacloprid,LCMS,1,Soil,5.64593E-06,0.294998693,2.024466739,0.57,0.14571674,0.95183,0.95183,510,0.51,255.661,1.543,32665.20829,1.522503596,0.0002,292.5,84,Terrestrial,2
Narrowmouth toad,NTI2,Imidacloprid,LCMS,1,Soil,5.64593E-06,0.395986198,2.024466739,0.57,0.195600249,0.92942,0.92942,510,0.51,255.661,1.543,43491.07188,1.498843298,0.0002,292.5,84,Terrestrial,2
Narrowmouth toad,NTI3,Imidacloprid,LCMS,1,Soil,5.64593E-06,0.214460025,2.024466739,0.57,0.105934082,0.9349,0.9349,510,0.51,255.661,1.543,24433.97515,1.453388312,0.0002,292.5,84,Terrestrial,2
Narrowmouth toad,NTI4,Imidacloprid,LCMS,1,Soil,5.64593E-06,0.319810784,2.024466739,0.57,0.157972852,0.85968,0.85968,510,0.51,255.661,1.543,33851.15852,1.438535784,0.0002,292.5,84,Terrestrial,2
Narrowmouth toad,NTI5,Imidacloprid,LCMS,1,Soil,5.64593E-06,0.49063891,2.024466739,0.57,0.242354641,1.24292,1.24292,510,0.51,255.661,1.543,51813.5391,2.084616565,0.0002,292.5,84,Terrestrial,2
Narrowmouth toad,NTT1,Total Triadimefon,LCMS,1,Soil,2.7193E-06,0.479349927,6.241574746,3.11,0.076799517,1.09861,1.09861,260,0.26,291.73,1.22,100684.6949,1.923427906,0.02,520,26,Terrestrial,2
Narrowmouth toad,NTT2,Total Triadimefon,LCMS,1,Soil,2.7193E-06,0.318840389,6.241574746,3.11,0.051083325,0.8174,0.8174,260,0.26,291.73,1.22,68167.28341,1.405967023,0.02,520,26,Terrestrial,1
Narrowmouth toad,NTT3,Total Triadimefon,LCMS,1,Soil,2.7193E-06,0.459769244,6.241574746,3.11,0.073662379,0.81689,0.81689,260,0.26,291.73,1.22,99009.60282,1.394984348,0.02,520,26,Terrestrial,2
Narrowmouth toad,NTT4,Total Triadimefon,LCMS,1,Soil,2.7193E-06,0.447331937,6.241574746,3.11,0.071669724,0.79306,0.79306,260,0.26,291.73,1.22,94403.6732,1.381943271,0.02,520,26,Terrestrial,2
Narrowmouth toad,NTT5,Total Triadimefon,LCMS,1,Soil,2.7193E-06,0.379035618,6.241574746,3.11,0.060727562,0.79105,0.79105,260,0.26,291.73,1.22,79750.04879,1.382598741,0.02,520,26,Terrestrial,2
