Species,Sample,Chemical,Instrument,Application,good,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_Lit,Koc_Lab,HalfLife_day,HabFac,Hlaw,#frogs
Fowlers toad,FTA5,Atrazine,LCMS,Soil,1,2.28389E-05,7.187578472,17.01496934,2.5,0.422426766,0.82668,0.9795,30,0.03,215.68,1.187,232803.9673,1.117517096,0.04,122,200,80,Terrestrial,2.36E-09,1
Fowlers toad,FTA1,Atrazine,GCMS,Soil,0,2.28389E-05,2.036084542,61.9009802,2.5,0.032892606,2.811,3.2531,30,0.03,215.68,1.187,111917.5947,2.239148039,0.04,122,200,80,Terrestrial,2.36E-09,1
Fowlers toad,FTA2,Atrazine,GCMS,Soil,0,2.28389E-05,4.754949487,61.9009802,2.5,0.076815415,1.04725,1.3337,30,0.03,215.68,1.187,163173.461,1.336199406,0.04,122,200,80,Terrestrial,2.36E-09,1
Fowlers toad,FTA3,Atrazine,GCMS,Soil,0,2.28389E-05,4.256410821,61.9009802,2.5,0.068761606,2.57336,2.98286,30,0.03,215.68,1.187,225213.0596,2.129487214,0.04,122,200,80,Terrestrial,2.36E-09,1
Fowlers toad,FTA4,Atrazine,GCMS,Soil,0,2.28389E-05,2.403768782,61.9009802,2.5,0.038832483,1.93404,2.20256,30,0.03,215.68,1.187,113937.03,1.786560678,0.04,122,200,80,Terrestrial,2.36E-09,1
Fowlers toad,FTA5,Atrazine,GCMS,Soil,0,2.28389E-05,3.105066258,61.9009802,2.5,0.050161827,0.82668,0.9795,30,0.03,215.68,1.187,100572.3619,1.117517096,0.04,122,200,80,Terrestrial,2.36E-09,1
Gray treefrog,HVA1,Atrazine,LCMS,Soil,1,2.30941E-05,6.200605185,16.60809236,2.5,0.373348429,1.56286,2.13844,30,0.03,215.68,1.187,238926.5026,1.756259992,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA2,Atrazine,LCMS,Soil,1,2.30941E-05,5.905088467,16.60809236,2.5,0.355554891,1.42737,1.792639,30,0.03,215.68,1.187,230158.4862,1.585750875,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA3,Atrazine,LCMS,Soil,1,2.30941E-05,8.475746479,16.60809236,2.5,0.510338352,2.21783,2.76186,30,0.03,215.68,1.187,399656.4482,2.036659213,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA4,Atrazine,LCMS,Soil,1,2.30941E-05,6.501385729,16.60809236,2.5,0.39145891,2.86963,3.6308,30,0.03,215.68,1.187,338553.1542,2.386184125,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA5,Atrazine,LCMS,Soil,1,2.30941E-05,5.341545111,16.60809236,2.5,0.321623037,1.1115,1.5443,30,0.03,215.68,1.187,176740.917,1.454582113,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA1,Atrazine,GCMS,Soil,0,2.30941E-05,1.130976965,43.87641145,2.5,0.025776424,1.56286,2.13844,30,0.03,215.68,1.187,43579.67692,1.756259992,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA2,Atrazine,GCMS,Soil,0,2.30941E-05,4.177178474,43.87641145,2.5,0.095203284,1.42737,1.792639,30,0.03,215.68,1.187,162810.9518,1.585750875,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA3,Atrazine,GCMS,Soil,0,2.30941E-05,2.488349375,43.87641145,2.5,0.056712691,2.21783,2.76186,30,0.03,215.68,1.187,117333.0132,2.036659213,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA4,Atrazine,GCMS,Soil,0,2.30941E-05,2.502699707,43.87641145,2.5,0.057039754,2.86963,3.6308,30,0.03,215.68,1.187,130325.5821,2.386184125,0.04,122,200,80,Arboreal,2.36E-09,1
Gray treefrog,HVA5,Atrazine,GCMS,Soil,0,2.30941E-05,0.856402161,43.87641145,2.5,0.01951851,1.1115,1.5443,30,0.03,215.68,1.187,28336.61422,1.454582113,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA1,Atrazine,LCMS,Overspray,1,2.3118E-05,15.10344709,19.03758973,2.5,0.793348701,2.22041,2.636,30,0.03,215.68,1.187,731759.8538,1.982394093,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA2,Atrazine,LCMS,Overspray,1,2.3118E-05,15.85497911,19.03758973,2.5,0.832824918,3.35473,3.8441,30,0.03,215.68,1.187,932854.3581,2.466372803,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA3,Atrazine,LCMS,Overspray,1,2.3118E-05,15.10344825,19.03758973,2.5,0.793348762,2.00039,2.3522,30,0.03,215.68,1.187,704196.5852,1.855864195,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA4,Atrazine,LCMS,Overspray,1,2.3118E-05,14.52476795,19.03758973,2.5,0.762952041,2.82206,4.3821,30,0.03,215.68,1.187,666389.4604,2.66070452,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA5,Atrazine,LCMS,Overspray,1,2.3118E-05,12.70858182,19.03758973,2.5,0.667552038,3.13181,3.8345,30,0.03,215.68,1.187,699055.8113,2.46280466,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA1,Atrazine,LCMS,Soil,1,2.30303E-05,2.320433805,17.55227915,2.5,0.132201282,1.31617,1.703,30,0.03,215.68,1.187,86148.08599,1.539344719,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA2,Atrazine,LCMS,Soil,1,2.30303E-05,1.97739492,17.55227915,2.5,0.112657445,1.8349,2.1766,30,0.03,215.68,1.187,88791.16077,1.774338306,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA3,Atrazine,LCMS,Soil,1,2.30303E-05,3.46548233,17.55227915,2.5,0.19743774,2.11135,2.5592,30,0.03,215.68,1.187,163030.6712,1.948744724,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA4,Atrazine,LCMS,Soil,1,2.30303E-05,2.317603452,17.55227915,2.5,0.132040029,1.88638,2.1335,30,0.03,215.68,1.187,108233.4276,1.753909771,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA5,Atrazine,LCMS,Soil,1,2.30303E-05,1.687312742,17.55227915,2.5,0.096130692,0.73631,0.8415,30,0.03,215.68,1.187,52709.35379,1.023455444,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA1,Atrazine,GCMS,Soil,0,2.30303E-05,1.169638537,38.25707326,2.5,0.030573132,1.31617,1.703,30,0.03,215.68,1.187,43423.82923,1.539344719,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA2,Atrazine,GCMS,Soil,0,2.30303E-05,1.152326132,38.25707326,2.5,0.030120603,1.8349,2.1766,30,0.03,215.68,1.187,51743.01491,1.774338306,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA3,Atrazine,GCMS,Soil,0,2.30303E-05,2.211648026,38.25707326,2.5,0.057810173,2.11135,2.5592,30,0.03,215.68,1.187,104045.1019,1.948744724,0.04,122,200,80,Arboreal,2.36E-09,1
