Chemical,CAS,"Beef
Transfer
Coefficient
(day/kg)  ","Boiling
Point
(degree
Celsius) ","Soil-to-Dry
Plant Uptake  ","Soil-to-Wet
Plant Uptake ","Density
(g/cm3)  ","Diffusivity
in Air
(cm2/s)  ","Diffusivity
in Water
(cm2/s)  ","Fish
Bioconcentration
Factor (L/kg)  ","Unitless
Henry`s Law
Constant  ","Soil-Water
Partition
Coefficient
(cm3/g)  ","Organic Carbon
Partition
Coefficient
(L/kg)  ","Skin
Permeability
Constant
(cm/hr)  ","Log of
Octanol-Water
Partition
Coefficient ","Milk Transfer
Coefficient
(day/kg) ","Melting
Point
(degree
Celsius) ","Molecular
Weight
(g/mol)  ","RAGS Part E
Dermal
Absorption
Factor ","RAGS Part E
Gastrointestinal
Absorption
Factor ","Water
Solubility
(mg/L)  ","Vapor
Pressure
(mm Hg) "
Cyanide (total complex),000000-05-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Cyanogen,000460-19-5,2.90E-08,-2.11E+01,3.46E+01,7.01E+00,9.54E-01,1.24E-01,1.38E-05,NA,2.21E-01,NA,NA,8.90E-04,7.00E-02,9.30E-09,-2.79E+01,5.20E+01,NA,1.00E+00,9.49E+03,4.30E+03
Cyanogen Bromide,000506-68-3,NA,6.15E+01,NA,NA,2.02E+00,9.84E-02,1.41E-05,NA,1.00E+00,NA,NA,2.55E-04,NA,NA,5.20E+01,1.06E+02,NA,1.00E+00,NA,NA
Cyanogen Chloride,000506-77-4,4.00E-08,1.30E+01,2.91E+01,5.90E+00,1.19E+00,1.21E-01,1.42E-05,NA,7.87E-02,NA,NA,3.94E-04,NA,1.30E-08,-6.50E+00,6.15E+01,NA,1.00E+00,3.00E+04,NA
Cyclohexane,000110-82-7,6.89E-05,8.07E+01,3.89E-01,7.79E-02,7.74E-01,8.00E-02,9.11E-06,8.30E+01,6.13E+00,NA,1.46E+02,1.02E-01,3.44E+00,2.18E-05,6.60E+00,8.42E+01,NA,1.00E+00,5.50E+01,9.69E+01
"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro-",000087-84-3,1.31E-03,3.73E+02,7.04E-02,1.41E-02,NA,2.96E-02,3.46E-06,2.58E+02,4.37E-10,NA,2.81E+03,2.83E-03,4.72E+00,4.15E-04,2.04E+02,5.13E+02,1.00E-01,1.00E+00,4.54E-01,3.46E-06
Cyclohexanone,000108-94-1,1.61E-07,1.55E+02,1.31E+01,2.61E+00,9.48E-01,7.68E-02,9.38E-06,3.16E+00,3.68E-04,NA,1.74E+01,1.52E-03,8.10E-01,5.10E-08,-3.10E+01,9.82E+01,1.00E-01,1.00E+00,2.50E+04,4.33E+00
Cyclohexene,000110-83-8,1.81E-05,8.29E+01,8.45E-01,1.69E-01,NA,1.01E-01,1.17E-05,3.58E+01,1.86E+00,NA,1.46E+02,4.31E-02,2.86E+00,5.72E-06,-1.04E+02,8.22E+01,NA,1.00E+00,2.13E+02,8.90E+01
Cyclohexylamine,000108-91-8,7.73E-07,1.34E+02,5.26E+00,1.05E+00,8.19E-01,7.13E-02,8.54E-06,4.47E+00,1.70E-04,NA,3.22E+01,4.25E-03,1.49E+00,2.44E-07,-1.77E+01,9.92E+01,1.00E-01,1.00E+00,1.00E+06,1.01E+01
Cyclopentadiene,000542-92-7,4.45E-06,4.10E+01,1.91E+00,3.81E-01,8.02E-01,9.76E-02,1.08E-05,1.43E+01,8.59E-01,NA,8.00E+01,2.10E-02,2.25E+00,1.40E-06,-8.50E+01,6.61E+01,NA,1.00E+00,1.80E+03,4.35E+02
Cyclophosphamide (anhydrous),000050-18-0,1.07E-07,3.60E+02,1.66E+01,3.32E+00,NA,4.65E-02,5.43E-06,3.16E+00,5.56E-10,NA,9.42E+01,1.41E-04,6.30E-01,3.37E-08,5.15E+01,2.61E+02,1.00E-01,1.00E+00,4.00E+04,4.40E-05
Cyclophosphamide (hydrated),006055-19-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Cyhalothrin/karate,068085-85-8,1.58E-01,4.36E+02,4.38E-03,8.76E-04,NA,3.24E-02,3.78E-06,NA,6.05E-05,NA,3.41E+05,2.10E-01,6.80E+00,4.98E-02,4.92E+01,4.50E+02,1.00E-01,1.00E+00,5.00E-03,1.50E-09
Cypermethrin,052315-07-8,9.95E-02,4.50E+02,5.72E-03,1.14E-03,1.25E+00,1.89E-02,4.65E-06,2.78E+02,1.72E-05,NA,7.98E+04,7.69E-02,6.60E+00,3.15E-02,8.40E+01,4.16E+02,1.00E-01,1.00E+00,4.00E-03,1.30E-03
Cyromazine,066215-27-8,NA,3.46E+02,NA,NA,NA,6.29E-02,7.34E-06,3.16E+00,2.31E-12,NA,2.87E+01,7.97E-04,9.60E-01,NA,2.25E+02,1.66E+02,1.00E-01,1.00E+00,1.30E+04,3.36E-09
DDD,000072-54-8,2.62E-02,3.50E+02,1.24E-02,2.48E-03,NA,4.06E-02,4.74E-06,4.36E+03,2.70E-04,NA,1.18E+05,2.51E-01,6.02E+00,8.27E-03,1.10E+02,3.20E+02,1.00E-01,1.00E+00,9.00E-02,1.35E-06
"DDD, o,p'-",000053-19-0,NA,3.67E+02,NA,NA,NA,4.06E-02,4.74E-06,3.49E+03,3.34E-04,NA,1.20E+05,2.01E-01,5.87E+00,NA,7.70E+01,3.20E+02,1.00E-01,1.00E+00,1.00E-01,1.94E-06
"DDE, p,p'-",000072-55-9,8.09E-02,3.36E+02,6.45E-03,1.29E-03,NA,4.08E-02,4.76E-06,1.20E+04,1.70E-03,NA,1.18E+05,5.45E-01,6.51E+00,2.56E-02,8.90E+01,3.18E+02,1.00E-01,1.00E+00,4.00E-02,6.00E-06
DDT,000050-29-3,2.03E-01,2.60E+02,3.78E-03,7.56E-04,NA,3.79E-02,4.43E-06,1.96E+04,3.40E-04,NA,1.69E+05,6.28E-01,6.91E+00,6.42E-02,1.09E+02,3.54E+02,3.00E-02,1.00E+00,5.50E-03,1.60E-07
"DDT, Total",000000-07-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"DDT, o,p'-",000789-02-6,NA,3.68E+02,NA,NA,NA,3.79E-02,4.43E-06,NA,3.03E-04,NA,1.72E+05,5.26E-01,6.79E+00,NA,1.23E+02,3.54E+02,1.00E-01,1.00E+00,8.50E-02,1.35E-06
DDT/DDE/DDD (total),000000-05-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Dacarbazine,004342-03-4,1.44E-08,4.39E+02,5.30E+01,1.06E+01,NA,5.91E-02,6.91E-06,1.00E+01,6.30E-15,NA,1.00E+01,1.03E-04,-2.40E-01,4.55E-09,2.05E+02,1.82E+02,1.00E-01,1.00E+00,1.00E+06,1.17E-08
Dacthal,001861-32-1,4.76E-04,3.65E+02,1.27E-01,2.54E-02,NA,3.96E-02,4.63E-06,3.10E+02,8.91E-05,NA,5.11E+02,1.50E-02,4.28E+00,1.51E-04,1.55E+02,3.32E+02,1.00E-01,1.00E+00,5.00E-01,2.50E-06
Dalapon,000075-99-0,1.20E-06,1.88E+02,4.08E+00,8.17E-01,1.39E+00,6.01E-02,9.41E-06,7.22E+00,2.31E-06,NA,3.23E+00,8.15E-04,7.80E-01,3.78E-07,-5.00E+00,1.43E+02,1.00E-01,1.00E+00,5.02E+05,1.51E-01
Dantron,000117-10-2,NA,4.33E+02,NA,NA,NA,4.92E-02,5.74E-06,4.79E+01,2.23E-09,NA,8.61E+03,2.91E-02,3.94E+00,NA,2.80E+02,2.40E+02,1.00E-01,1.00E+00,2.56E+02,7.60E-11
"Decabromodiphenyl ether, 2,2',3,3',4,4',5,5',6,6'- (BDE-209)",001163-19-5,3.22E+04,5.30E+02,3.64E-06,7.29E-07,3.00E+00,1.89E-02,4.77E-06,2.40E+03,1.82E-06,NA,2.76E+05,7.25E-01,1.21E+01,1.02E+04,2.95E+02,9.59E+02,1.00E-01,1.00E+00,1.00E-04,4.67E-12
Decane,000124-18-5,2.56E-03,1.74E+02,4.78E-02,9.57E-03,7.27E-01,4.51E-02,6.40E-06,3.97E+01,2.11E+02,NA,1.45E+03,5.32E-01,5.01E+00,8.08E-04,-2.97E+01,1.42E+02,1.00E-01,1.00E+00,5.20E-02,1.43E+00
"Decanol, n-",000112-30-1,9.29E-04,2.31E+02,8.61E-02,1.72E-02,NA,6.49E-02,7.59E-06,2.03E+01,1.31E-03,NA,1.27E+02,2.21E-01,4.57E+00,2.94E-04,6.90E+00,1.58E+02,NA,1.00E+00,3.70E+01,8.51E-03
Deltamethrin,052918-63-5,3.96E-02,4.91E+02,9.76E-03,1.95E-03,NA,3.00E-02,3.50E-06,3.21E+02,2.04E-04,NA,7.98E+04,3.02E-02,6.20E+00,1.25E-02,1.00E+02,5.05E+02,1.00E-01,1.00E+00,2.00E-03,1.50E-08
Demeton,008065-48-3,NA,1.34E+02,NA,NA,NA,4.68E-02,5.47E-06,6.14E+01,NA,NA,8.38E+02,7.61E-03,3.21E+00,NA,-6.28E+00,2.58E+02,1.00E-01,1.00E+00,6.00E+01,3.00E-04
Di(2-ethylhexyl)adipate,000103-23-1,3.30E+00,4.17E+02,7.51E-04,1.50E-04,9.22E-01,1.73E-02,4.16E-06,9.57E+02,1.77E-05,NA,3.60E+04,3.23E+00,8.12E+00,1.04E+00,-6.78E+01,3.71E+02,1.00E-01,1.00E+00,7.80E-01,8.50E-07
Di-n-butyltin bis(2-ethylhexanoate),002781-10-4,2.81E-01,4.36E+02,3.14E-03,6.27E-04,NA,2.89E-02,3.38E-06,7.99E+04,9.08E-01,NA,8.16E+04,7.72E-02,7.05E+00,8.86E-02,5.70E+01,5.33E+02,1.00E-01,1.00E+00,1.22E-04,5.57E-07
Di-n-butyltin bis(methyl maleate),015546-11-9,7.73E-06,4.28E+02,1.38E+00,2.77E-01,NA,3.05E-02,3.57E-06,5.16E+02,1.42E-08,NA,3.01E+01,1.25E-04,2.49E+00,2.44E-06,1.56E+02,4.91E+02,1.00E-01,1.00E+00,1.90E+02,7.80E-08
Di-n-butyltin bis(n-butyl maleate),015546-16-4,6.89E-03,4.98E+02,2.69E-02,5.39E-03,NA,2.75E-02,3.21E-06,1.92E+03,7.81E-08,NA,1.10E+03,3.82E-03,5.44E+00,2.18E-03,1.94E+02,5.75E+02,1.00E-01,1.00E+00,1.33E-01,5.22E-10
Di-n-butyltin dilaurate,000077-58-7,NA,5.31E+02,NA,NA,NA,2.58E-02,3.02E-06,1.34E+03,6.58E+00,NA,6.16E+06,5.30E-05,3.12E+00,NA,2.30E+01,6.32E+02,1.00E-01,1.00E+00,3.00E+00,4.46E-09
Di-n-butyltin distearate,005847-55-2,8.47E+08,6.70E+02,9.96E-09,1.99E-09,NA,2.20E-02,2.58E-06,1.00E+02,1.97E+02,NA,8.27E+09,4.91E+03,1.65E+01,2.68E+08,2.92E+02,8.00E+02,1.00E-01,1.00E+00,8.00E-07,1.11E-15
Di-n-hexylphthalate,000084-75-3,1.65E-01,2.10E+02,4.26E-03,8.53E-04,NA,3.94E-02,4.61E-06,6.20E+02,1.05E-03,NA,1.28E+04,7.09E-01,6.82E+00,5.22E-02,-5.80E+01,3.34E+02,1.00E-01,1.00E+00,5.00E-02,1.40E-05
Diallate,002303-16-4,7.73E-04,1.50E+02,9.58E-02,1.92E-02,NA,4.55E-02,5.31E-06,4.26E+02,1.55E-04,NA,6.44E+02,4.60E-02,4.49E+00,2.44E-04,2.50E+01,2.70E+02,1.00E-01,1.00E+00,1.40E+01,1.50E-04
"Diaminoanisole sulfate, 2,4-",039156-41-7,NA,5.62E+02,NA,NA,NA,4.97E-02,5.81E-06,NA,4.74E-23,NA,1.53E+01,1.21E-07,-4.19E+00,NA,2.41E+02,2.36E+02,1.00E-01,1.00E+00,1.00E+06,1.05E-14
"Diaminoanisole, 2,4-",000615-05-4,NA,2.21E+02,NA,NA,NA,7.11E-02,8.31E-06,3.16E+00,2.95E-08,NA,2.21E+01,2.19E-04,-3.10E-01,NA,6.75E+01,1.38E+02,1.00E-01,1.00E+00,2.47E+04,4.63E-02
"Diaminodiphenyl ether, 4,4-",000101-80-4,5.73E-07,3.50E+02,6.26E+00,1.25E+00,NA,5.55E-02,6.49E-06,3.67E+00,1.91E-09,NA,4.45E+02,9.44E-04,1.36E+00,1.81E-07,1.89E+02,2.00E+02,1.00E-01,1.00E+00,5.97E+02,2.53E-06
Diammonium phosphate,007783-28-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,1.32E+02,NA,1.00E+00,NA,NA
Diazinon,000333-41-5,1.61E-04,8.70E+01,2.37E-01,4.75E-02,1.11E+00,2.10E-02,5.23E-06,7.15E+01,4.62E-06,NA,3.03E+03,1.04E-02,3.81E+00,5.10E-05,8.76E+01,3.04E+02,1.00E-01,1.00E+00,4.00E+01,9.01E-05
"Dibenz(a,h)acridine",000226-36-8,1.34E-02,4.76E+02,1.83E-02,3.66E-03,NA,4.45E-02,5.20E-06,1.07E+02,7.77E-08,NA,1.91E+06,2.73E-01,5.73E+00,4.24E-03,2.26E+02,2.79E+02,1.30E-01,1.00E+00,1.59E-01,7.93E-10
"Dibenz(a,j)acridine",000224-42-0,1.07E-02,4.76E+02,2.09E-02,4.18E-03,NA,4.45E-02,5.20E-06,1.07E+02,7.77E-08,NA,1.91E+06,2.73E-01,5.63E+00,3.37E-03,2.26E+02,2.79E+02,1.30E-01,1.00E+00,1.59E-01,7.93E-10
"Dibenz[a,h]anthracene",000053-70-3,1.41E-01,5.24E+02,4.68E-03,9.36E-04,NA,4.46E-02,5.21E-06,9.60E+03,5.76E-06,NA,1.91E+06,9.53E-01,6.75E+00,4.44E-02,2.70E+02,2.78E+02,1.30E-01,1.00E+00,2.49E-03,9.55E-10
"Dibenzo(a,e)pyrene",000192-65-4,1.28E+00,5.14E+02,1.30E-03,2.60E-04,NA,4.22E-02,4.93E-06,5.97E+03,5.76E-07,NA,6.48E+06,4.19E+00,7.71E+00,4.05E-01,2.34E+02,3.02E+02,1.30E-01,1.00E+00,4.25E-05,7.03E-11
"Dibenzo(a,h)pyrene",000189-64-0,NA,5.14E+02,NA,NA,NA,4.22E-02,4.93E-06,9.65E+03,5.76E-07,NA,6.35E+06,2.19E+00,7.28E+00,NA,3.17E+02,3.02E+02,1.30E-01,1.00E+00,4.25E-05,6.41E-12
"Dibenzo(a,i)pyrene",000189-55-9,NA,2.75E+02,NA,NA,NA,4.22E-02,4.93E-06,9.65E+03,5.76E-07,NA,6.35E+06,2.19E+00,7.28E+00,NA,3.17E+02,3.02E+02,1.30E-01,1.00E+00,4.25E-05,6.41E-12
"Dibenzo(a,l)pyrene",000191-30-0,1.28E+00,5.14E+02,1.30E-03,2.60E-04,NA,4.22E-02,4.93E-06,5.97E+03,5.76E-07,NA,6.48E+06,4.19E+00,7.71E+00,4.05E-01,2.34E+02,3.02E+02,1.30E-01,1.00E+00,4.25E-05,7.03E-11
"Dibenzo(c,g)carbazole, 7H-",000194-59-2,6.28E-02,4.82E+02,7.47E-03,1.49E-03,NA,4.58E-02,5.35E-06,7.76E+03,1.00E-07,NA,1.07E+06,8.87E-01,6.40E+00,1.98E-02,1.58E+02,2.67E+02,1.30E-01,1.00E+00,6.30E-02,3.40E-09
Dibenzofuran,000132-64-9,3.30E-04,2.87E+02,1.57E-01,3.14E-02,1.09E+00,4.10E-02,7.38E-06,1.52E+03,8.71E-03,NA,9.16E+03,9.75E-02,4.12E+00,1.04E-04,8.65E+01,1.68E+02,NA,1.00E+00,3.10E+00,2.48E-03
Dibenzothiophene,000132-65-0,6.00E-04,3.33E+02,1.11E-01,2.22E-02,NA,5.87E-02,6.86E-06,1.13E+03,1.38E-03,NA,9.16E+03,1.18E-01,4.38E+00,1.90E-04,9.70E+01,1.84E+02,NA,1.00E+00,1.47E+00,2.05E-04
"Dibromo-3-chloropropane, 1,2-",000096-12-8,2.28E-05,1.96E+02,7.39E-01,1.48E-01,2.09E+00,3.21E-02,8.90E-06,1.15E+01,6.01E-03,NA,1.16E+02,6.85E-03,2.96E+00,7.20E-06,6.00E+00,2.36E+02,NA,1.00E+00,1.23E+03,5.80E-01
"Dibromo-3-nitrilopropionamide, 2,2-",010222-01-2,1.65E-07,3.47E+02,1.29E+01,2.58E+00,NA,4.89E-02,5.72E-06,3.16E+00,7.81E-07,NA,5.38E+00,2.41E-04,8.20E-01,5.22E-08,1.25E+02,2.42E+02,1.00E-01,1.00E+00,1.50E+04,9.00E-04
Dibromoacetic acid,000631-64-1,NA,1.30E+02,NA,NA,NA,5.25E-02,6.13E-06,3.16E+00,1.81E-07,NA,2.25E+00,2.74E-04,7.00E-01,NA,4.90E+01,2.18E+02,1.00E-01,1.00E+00,2.11E+06,2.30E-02
Dibromoacetonitrile,003252-43-5,NA,6.90E+01,NA,NA,2.30E+00,3.71E-02,1.04E-05,3.16E+00,1.66E-05,NA,1.31E+01,2.46E-04,4.70E-01,NA,6.98E+00,1.99E+02,1.00E-01,1.00E+00,4.87E+04,3.01E-01
"Dibromobenzene, 1,3-",000108-36-1,1.41E-04,2.18E+02,2.57E-01,5.15E-02,1.95E+00,3.12E-02,8.55E-06,6.61E+02,5.07E-02,NA,3.75E+02,2.31E-02,3.75E+00,4.44E-05,-7.00E+00,2.36E+02,1.00E-01,1.00E+00,6.75E+01,2.69E-01
"Dibromobenzene, 1,4-",000106-37-6,1.54E-04,2.20E+02,2.44E-01,4.88E-02,2.26E+00,3.33E-02,9.34E-06,1.63E+02,3.65E-02,NA,3.75E+02,2.45E-02,3.79E+00,4.87E-05,8.73E+01,2.36E+02,1.00E-01,1.00E+00,2.00E+01,5.75E-02
Dibromochloromethane,000124-48-1,3.61E-06,1.20E+02,2.15E+00,4.30E-01,2.45E+00,3.66E-02,1.06E-05,1.24E+01,3.20E-02,NA,3.18E+01,2.89E-03,2.16E+00,1.14E-06,-2.00E+01,2.08E+02,1.00E-01,1.00E+00,2.70E+03,1.56E+01
Dibromodichloromethane,000594-18-3,NA,1.50E+02,NA,NA,2.42E+00,3.38E-02,9.56E-06,2.49E+01,4.95E-03,NA,4.39E+01,3.76E-03,2.62E+00,NA,3.80E+01,2.43E+02,1.00E-01,1.00E+00,7.42E+02,2.77E+00
"Dibromodiphenyl Ether, p,p'-",002050-47-7,NA,3.39E+02,NA,NA,1.80E+00,2.55E-02,6.68E-06,3.26E+03,2.00E-03,NA,4.94E+03,1.69E-01,5.83E+00,NA,6.05E+01,3.28E+02,1.00E-01,1.00E+00,1.27E+00,1.12E-04
"Dibromoethane, 1,2-",000106-93-4,2.28E-06,1.32E+02,2.81E+00,5.62E-01,2.17E+00,4.30E-02,1.04E-05,1.50E+01,2.66E-02,NA,3.96E+01,2.78E-03,1.96E+00,7.20E-07,9.90E+00,1.88E+02,NA,1.00E+00,3.91E+03,1.12E+01
Dibromomethane (Methylene Bromide),000074-95-3,1.25E-06,9.70E+01,3.98E+00,7.95E-01,2.50E+00,5.51E-02,1.19E-05,6.15E+00,3.36E-02,NA,2.17E+01,2.23E-03,1.70E+00,3.96E-07,-5.25E+01,1.74E+02,NA,1.00E+00,1.19E+04,4.44E+01
Dibutoxy di-n-butyltin,003349-36-8,3.53E-05,3.33E+02,5.73E-01,1.15E-01,NA,3.63E-02,4.24E-06,1.39E+03,3.02E+00,NA,2.62E+05,1.44E-03,3.15E+00,1.12E-05,1.08E+02,3.79E+02,1.00E-01,1.00E+00,4.45E+00,9.96E-05
Dibutyl Phthalate,000084-74-2,7.91E-04,3.40E+02,9.45E-02,1.89E-02,1.05E+00,2.14E-02,5.33E-06,1.67E+02,7.40E-05,NA,1.16E+03,4.20E-02,4.50E+00,2.50E-04,-3.50E+01,2.78E+02,1.00E-01,1.00E+00,1.12E+01,2.01E-05
Dibutylbis((1-oxoisooctyl)oxy)stannane,085702-74-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Dibutylbis(octadeca-9(Z),12(Z),15(Z)-trienoyloxy)stannane",095873-60-2,4.34E+07,6.92E+02,5.58E-08,1.12E-08,NA,2.23E-02,2.60E-06,1.00E+02,9.16E+01,NA,8.27E+09,7.97E+02,1.52E+01,1.37E+07,3.02E+02,7.88E+02,1.00E-01,1.00E+00,7.88E-07,2.22E-16
"Dibutylbis(octadeca-9(Z),12(Z)-dienoyloxy)stannane",085391-79-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Dibutylbis(palmitoyloxy)stannane,013323-63-2,9.08E+06,6.24E+02,1.38E-07,2.76E-08,NA,2.31E-02,2.70E-06,1.00E+02,6.38E+01,NA,7.50E+08,5.02E+02,1.46E+01,2.87E+06,2.70E+02,7.44E+02,1.00E-01,1.00E+00,7.44E-07,3.49E-14
Dibutyltin Compounds,000000-01-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Dibutyltin diacetate,001067-33-0,NA,1.45E+02,NA,NA,1.32E+00,2.12E-02,5.33E-06,1.00E+02,2.28E-02,NA,3.44E+01,5.83E-05,8.10E-01,NA,1.00E+01,3.51E+02,1.00E-01,1.00E+00,6.00E+00,3.01E-03
Dibutyltin dichloride,000683-18-1,9.08E-07,1.35E+02,4.79E+00,9.59E-01,NA,4.20E-02,4.91E-06,4.97E+00,1.48E-01,NA,1.86E+03,3.36E-04,1.56E+00,2.87E-07,4.20E+01,3.04E+02,1.00E-01,1.00E+00,9.20E+01,7.87E-02
Dibutyltin oxide,000818-08-6,NA,1.75E+02,NA,NA,NA,4.80E-02,5.61E-06,3.84E+04,NA,NA,1.28E+03,2.19E-01,5.33E+00,NA,3.00E+02,2.49E+02,1.00E-01,1.00E+00,6.03E+01,1.68E+00
Dicalcium phosphate,007757-93-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,1.36E+02,NA,1.00E+00,NA,NA
Dicamba,001918-00-9,4.05E-06,3.29E+02,2.01E+00,4.02E-01,1.57E+00,2.92E-02,7.80E-06,3.16E+00,8.91E-08,NA,2.90E+01,2.65E-03,2.21E+00,1.28E-06,1.15E+02,2.21E+02,1.00E-01,1.00E+00,8.31E+03,3.38E-05
"Dichloro-2-butene, 1,4-",000764-41-0,9.95E-06,1.53E+02,1.20E+00,2.39E-01,1.19E+00,6.65E-02,9.29E-06,2.41E+01,2.71E-02,NA,1.32E+02,1.66E-02,2.60E+00,3.15E-06,-4.80E+01,1.25E+02,NA,1.00E+00,5.80E+02,4.09E+00
"Dichloro-2-butene, cis-1,4-",001476-11-5,9.95E-06,1.53E+02,1.20E+00,2.39E-01,1.19E+00,6.65E-02,9.29E-06,2.41E+01,2.71E-02,NA,1.32E+02,1.66E-02,2.60E+00,3.15E-06,-4.80E+01,1.25E+02,1.00E-01,1.00E+00,5.80E+02,4.09E+00
"Dichloro-2-butene, trans-1,4-",000110-57-6,9.95E-06,1.53E+02,1.20E+00,2.39E-01,1.18E+00,6.64E-02,9.27E-06,2.41E+01,2.71E-02,NA,1.32E+02,1.66E-02,2.60E+00,3.15E-06,-4.80E+01,1.25E+02,1.00E-01,1.00E+00,8.50E+02,4.09E+00
Dichloroacetic Acid,000079-43-6,2.08E-07,1.94E+02,1.13E+01,2.25E+00,1.56E+00,7.22E-02,1.08E-05,3.16E+00,3.43E-07,NA,2.25E+00,1.21E-03,9.20E-01,6.57E-08,1.98E+02,1.29E+02,1.00E-01,1.00E+00,1.00E+06,1.79E-01
"Dichloroaniline, 2,4-",000554-00-7,1.51E-05,2.45E+02,9.40E-01,1.88E-01,1.57E+00,5.19E-02,9.39E-06,2.30E+01,6.46E-05,NA,1.85E+02,1.36E-02,2.78E+00,4.76E-06,6.35E+01,1.62E+02,1.00E-01,1.00E+00,6.20E+02,1.50E-02
"Dichloroaniline, 3,4-",000095-76-1,1.22E-05,2.72E+02,1.06E+00,2.12E-01,NA,6.39E-02,7.47E-06,1.30E+01,5.97E-04,NA,1.85E+02,1.18E-02,2.69E+00,3.87E-06,7.20E+01,1.62E+02,1.00E-01,1.00E+00,9.20E+01,6.32E-03
Dichlorobenzene,025321-22-6,6.73E-05,1.80E+02,3.95E-01,7.89E-02,NA,6.82E-02,7.97E-06,NA,7.85E-02,NA,3.83E+02,4.46E-02,3.43E+00,2.13E-05,-1.67E+01,1.47E+02,1.00E-01,1.00E+00,8.00E+01,1.47E+00
"Dichlorobenzene, 1,2-",000095-50-1,6.73E-05,1.80E+02,3.95E-01,7.89E-02,1.31E+00,5.62E-02,8.92E-06,2.70E+02,7.85E-02,NA,3.83E+02,4.46E-02,3.43E+00,2.13E-05,-1.67E+01,1.47E+02,NA,1.00E+00,1.56E+02,1.47E+00
"Dichlorobenzene, 1,3-",000541-73-1,8.47E-05,1.73E+02,3.45E-01,6.90E-02,1.29E+00,5.58E-02,8.85E-06,2.14E+02,1.08E-01,NA,3.75E+02,5.20E-02,3.53E+00,2.68E-05,-2.48E+01,1.47E+02,NA,1.00E+00,1.25E+02,2.15E+00
"Dichlorobenzene, 1,4-",000106-46-7,6.89E-05,1.74E+02,3.89E-01,7.79E-02,1.25E+00,5.50E-02,8.68E-06,4.20E+02,9.85E-02,NA,3.75E+02,4.53E-02,3.44E+00,2.18E-05,5.21E+01,1.47E+02,NA,1.00E+00,8.13E+01,1.74E+00
"Dichlorobenzidine, 3,3'-",000091-94-1,8.09E-05,3.68E+02,3.55E-01,7.09E-02,NA,4.75E-02,5.55E-06,1.46E+02,1.64E-07,NA,3.19E+03,1.28E-02,3.51E+00,2.56E-05,1.32E+02,2.53E+02,1.00E-01,1.00E+00,3.10E+00,4.16E-06
"Dichlorobenzoic acid, -3,5",000051-36-5,2.50E-05,3.01E+02,7.01E-01,1.40E-01,NA,5.73E-02,6.69E-06,3.16E+00,1.35E-06,NA,4.26E+01,1.31E-02,3.00E+00,7.90E-06,1.88E+02,1.91E+02,1.00E-01,1.00E+00,1.47E+02,3.59E-05
"Dichlorobenzophenone, 4,4'-",000090-98-2,6.89E-04,3.53E+02,1.02E-01,2.05E-02,1.45E+00,2.64E-02,6.89E-06,1.02E+02,4.37E-05,NA,2.93E+03,5.42E-02,4.44E+00,2.18E-04,1.48E+02,2.51E+02,1.00E-01,1.00E+00,7.80E+00,6.39E-06
Dichlorodifluoromethane,000075-71-8,3.61E-06,-2.98E+01,2.15E+00,4.30E-01,1.49E+00,7.60E-02,1.08E-05,6.15E+00,1.40E+01,NA,4.39E+01,8.95E-03,2.16E+00,1.14E-06,-1.58E+02,1.21E+02,NA,1.00E+00,2.80E+02,4.85E+03
"Dichlorodiisopropyl ether, 2,2'-",039638-32-9,1.34E-04,1.25E+02,2.64E-01,5.29E-02,NA,6.17E-02,7.20E-06,NA,1.36E-02,NA,4.58E+01,5.15E-02,3.73E+00,4.24E-05,-3.48E+01,1.71E+02,NA,1.00E+00,6.23E+02,1.26E+01
"Dichloroethane, 1,1-",000075-34-3,1.54E-06,5.74E+01,3.53E+00,7.05E-01,1.18E+00,8.36E-02,1.06E-05,7.05E+00,2.30E-01,NA,3.18E+01,6.75E-03,1.79E+00,4.87E-07,-9.69E+01,9.90E+01,NA,1.00E+00,5.04E+03,2.27E+02
