Chemical,CAS,"Beef
Transfer
Coefficient
(day/kg)  ","Boiling
Point
(degree
Celsius) ","Soil-to-Dry
Plant Uptake  ","Soil-to-Wet
Plant Uptake ","Density
(g/cm3)  ","Diffusivity
in Air
(cm2/s)  ","Diffusivity
in Water
(cm2/s)  ","Fish
Bioconcentration
Factor (L/kg)  ","Unitless
Henry`s Law
Constant  ","Soil-Water
Partition
Coefficient
(cm3/g)  ","Organic Carbon
Partition
Coefficient
(L/kg)  ","Skin
Permeability
Constant
(cm/hr)  ","Log of
Octanol-Water
Partition
Coefficient ","Milk Transfer
Coefficient
(day/kg) ","Melting
Point
(degree
Celsius) ","Molecular
Weight
(g/mol)  ","RAGS Part E
Dermal
Absorption
Factor ","RAGS Part E
Gastrointestinal
Absorption
Factor ","Water
Solubility
(mg/L)  ","Vapor
Pressure
(mm Hg) "
Acrylonitrile,000107-13-1,4.45E-08,7.73E+01,2.76E+01,5.51E+00,8.01E-01,1.14E-01,1.23E-05,3.16E+00,5.64E-03,NA,8.51E+00,1.16E-03,2.50E-01,1.40E-08,-8.35E+01,5.31E+01,NA,1.00E+00,7.45E+04,1.09E+02
Actinomycin D,000050-76-0,NA,1.90E+03,NA,NA,NA,1.63E-02,1.91E-06,3.16E+00,NA,NA,1.00E+10,3.49E-11,-9.10E-01,NA,2.45E+02,1.26E+03,1.00E-01,1.00E+00,1.00E+06,0.00E+00
Adiponitrile,000111-69-3,1.20E-08,2.95E+02,5.90E+01,1.18E+01,9.68E-01,7.08E-02,8.96E-06,3.16E+00,4.95E-08,NA,2.02E+01,2.37E-04,-3.20E-01,3.78E-09,1.00E+00,1.08E+02,1.00E-01,1.00E+00,8.00E+04,6.79E-04
Alachlor,015972-60-8,8.28E-05,1.00E+02,3.50E-01,7.00E-02,1.13E+00,2.26E-02,5.69E-06,1.32E+01,3.40E-07,NA,3.12E+02,1.05E-02,3.52E+00,2.62E-05,4.00E+01,2.70E+02,1.00E-01,1.00E+00,2.40E+02,2.05E-05
Aldicarb,000116-06-3,3.37E-07,2.51E+02,8.51E+00,1.70E+00,1.20E+00,3.19E-02,7.25E-06,2.59E+00,5.89E-08,NA,2.46E+01,7.55E-04,1.13E+00,1.07E-07,9.90E+01,1.90E+02,1.00E-01,1.00E+00,6.03E+03,3.47E-05
Aldicarb Sulfone,001646-88-4,6.73E-09,3.17E+02,8.24E+01,1.65E+01,NA,5.18E-02,6.05E-06,3.16E+00,1.38E-07,NA,1.00E+01,3.71E-05,-5.70E-01,2.13E-09,1.40E+02,2.22E+02,1.00E-01,1.00E+00,1.00E+04,9.00E-05
Aldicarb sulfoxide,001646-87-3,4.15E-09,3.07E+02,1.09E+02,2.18E+01,NA,5.44E-02,6.36E-06,3.16E+00,3.96E-08,NA,1.00E+01,3.29E-05,-7.80E-01,1.31E-09,7.79E+01,2.06E+02,1.00E-01,1.00E+00,2.80E+04,1.00E-04
Aldrin,000309-00-2,7.91E-02,3.30E+02,6.54E-03,1.31E-03,NA,3.72E-02,4.35E-06,5.50E+03,1.80E-03,NA,8.20E+04,2.93E-01,6.50E+00,2.50E-02,2.40E+02,3.65E+02,1.00E-01,1.00E+00,1.70E-02,1.20E-04
Aliphatic Chlorinated Hydrocarbons (each),000000-05-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Aliphatic Chlorinated Hydrocarbons (total),000000-05-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Alizarin Red Compounds,000000-03-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Ally,074223-64-6,3.96E-06,5.62E+02,2.04E+00,4.08E-01,NA,3.61E-02,4.22E-06,4.00E+00,5.40E-15,NA,9.25E+01,3.29E-04,2.20E+00,1.25E-06,1.62E+02,3.81E+02,1.00E-01,1.00E+00,9.50E+03,2.86E-11
Allyl Alcohol,000107-18-6,3.70E-08,9.70E+01,3.07E+01,6.14E+00,8.54E-01,1.10E-01,1.21E-05,3.16E+00,2.04E-04,NA,1.90E+00,9.59E-04,1.70E-01,1.17E-08,-1.29E+02,5.81E+01,1.00E-01,1.00E+00,1.00E+06,2.61E+01
Allyl Chloride,000107-05-1,2.13E-06,4.51E+01,2.92E+00,5.85E-01,9.38E-01,9.36E-02,1.08E-05,5.00E+00,4.50E-01,NA,3.96E+01,1.12E-02,1.93E+00,6.72E-07,-1.35E+02,7.65E+01,NA,1.00E+00,3.37E+03,3.68E+02
Aluminum,007429-90-5,1.50E-03,2.52E+03,4.00E-03,1.00E-03,2.70E+00,NA,NA,5.00E+02,NA,1.50E+03,NA,1.00E-03,NA,2.00E-04,6.60E+02,2.70E+01,NA,1.00E+00,NA,0.00E+00
Aluminum Phosphide,020859-73-8,NA,NA,NA,NA,2.40E+00,NA,NA,5.00E+02,NA,NA,NA,1.00E-03,NA,NA,2.55E+03,5.80E+01,NA,1.00E+00,NA,NA
Aluminum metaphosphate,013776-88-0,NA,NA,NA,NA,2.78E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,2.64E+02,NA,1.00E+00,NA,NA
Amdro,067485-29-4,NA,5.00E+02,NA,NA,NA,3.04E-02,3.55E-06,1.55E+01,8.99E-05,NA,1.80E+08,9.02E-05,2.31E+00,NA,1.88E+02,4.94E+02,1.00E-01,1.00E+00,6.00E-03,2.03E-08
Ametryn,000834-12-8,2.39E-05,3.45E+02,7.20E-01,1.44E-01,NA,5.10E-02,5.96E-06,1.31E+01,9.93E-08,NA,4.28E+02,7.94E-03,2.98E+00,7.54E-06,8.80E+01,2.27E+02,1.00E-01,1.00E+00,2.09E+02,2.74E-06
"Amino-4-chlorobenzotrifluoride, 3-",000121-50-6,2.87E-05,1.03E+02,6.47E-01,1.29E-01,1.43E+00,3.18E-02,7.93E-06,4.85E+01,5.01E-04,NA,7.90E+02,1.35E-02,3.06E+00,9.07E-06,3.19E+01,1.96E+02,NA,1.00E+00,1.49E+02,9.74E-02
"Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazol, 2-",000712-68-5,NA,4.06E+02,NA,NA,NA,5.34E-02,6.24E-06,NA,6.83E-12,NA,2.93E+02,1.32E-04,1.80E-01,NA,2.80E+02,2.12E+02,1.00E-01,1.00E+00,9.40E+04,9.15E-09
"Amino-9-ethylcarbazolehydrochloride, 3-",006109-97-3,NA,5.05E+02,NA,NA,NA,4.83E-02,5.64E-06,NA,1.33E-14,NA,4.94E+03,2.89E-04,9.80E-01,NA,2.15E+02,2.47E+02,1.00E-01,1.00E+00,2.70E+00,1.95E-10
"Aminoanthraquinone, 2-",000117-79-3,5.10E-05,4.06E+02,4.63E-01,9.26E-02,NA,5.16E-02,6.03E-06,3.20E+01,3.76E-09,NA,2.42E+03,1.39E-02,3.31E+00,1.61E-05,3.05E+02,2.23E+02,1.00E-01,1.00E+00,1.63E-01,5.00E-11
"Aminoazobenzene, p-",000060-09-3,6.43E-05,3.66E+02,4.05E-01,8.10E-02,NA,5.61E-02,6.55E-06,1.00E+01,2.57E-07,NA,1.81E+03,6.77E-03,3.41E+00,2.03E-05,1.27E+02,1.97E+02,1.00E-01,1.00E+00,3.20E+01,1.40E-06
